babysitterID,firstName,lastName,email,zipcode,minHourlyRate,maxNumKids,minAgeKids
59,Kelly,SIMPSON,Lauraexcited@hotmail.com,90009,17,2,8
60,Lauren,PORTER,innocentHilary54@ymail.com,90010,19,1,8
61,Christina,HUNTER,Aimeeclean@earthlink.net,90001,22,3,2
62,Joan,GORDON,wrongJodi@freenet.de,90002,19,3,4
63,Evelyn,MENDEZ,evilClaire55@charter.net,90003,26,5,1
64,Judith,SILVA,spotlessMaurice38@telenet.be,90004,22,6,6
65,Megan,SHAW,Jillterrible@live.ca,90005,25,3,12
66,Andrea,SNYDER,Lesliewrong@facebook.com,90006,28,6,3
67,Cheryl,MASON,Walterembarrassed@comcast.net,90007,17,5,10
68,Hannah,DIXON,enchantingTabitha@yahoo.co.id,90008,28,3,1
69,Jacqueline,MUNOZ,bloodyDominique12@gmail.com,90009,19,2,3
70,Martha,HUNT,Alisonwandering@aol.com,90010,25,3,3
71,Gloria,HICKS,Brendansuper@sympatico.ca,90001,12,4,3
72,Teresa,HOLMES,cautiousKristopher@shaw.ca,90002,24,5,9
73,Ann,PALMER,Carlylazy@yahoo.com.ar,90003,15,5,9
74,Sara,WAGNER,quaintKatrina66@free.fr,90004,14,4,11
75,Madison,BLACK,obnoxiousJessica@live.nl,90005,22,1,9
76,Frances,ROBERTSON,tiredKevin26@freenet.de,90006,23,1,12
77,Kathryn,BOYD,Danielwrong@me.com,90007,29,1,4
78,Janice,ROSE,tenderWesley@live.com,90008,9,1,9
79,Jean,STONE,frailKurt@qq.com,90009,30,6,6
80,Abigail,SALAZAR,Justinencouraging@yahoo.com.au,90010,16,6,12
81,Alice,FOX,Thomassore@t-online.de,90001,17,5,12
82,Julia,WARREN,Philipstormy@yahoo.in,90002,24,2,11
83,Judy,MILLS,worrisomeMarvin42@frontiernet.net,90003,21,6,4
84,Sophia,MEYER,sparklingOlivia47@free.fr,90004,14,2,8
85,Grace,RICE,disturbedJohnny99@mail.com,90005,10,3,12
86,Denise,SCHMIDT,Ginalazy@laposte.net,90006,26,1,2
87,Amber,GARZA,mushyMelody@neuf.fr,90007,26,5,10
88,Doris,DANIELS,Andrecooperative@virgilio.it,90008,27,3,8
89,Marilyn,FERGUSON,Daniellegrumpy@yahoo.com.ar,90009,10,1,7
90,Danielle,NICHOLS,agreeablePatrick@rambler.ru,90010,20,6,7
91,Beverly,STEPHENS,gloriousEmmanuel82@cox.net,90001,12,4,6
92,Isabella,SOTO,illJon@sbcglobal.net,90002,20,2,7
93,Theresa,WEAVER,Stephaniecurious@gmx.de,90003,29,5,1
94,Diana,RYAN,Omarpanicky@yahoo.com.au,90004,19,6,3
95,Natalie,GARDNER,luckyRicky@bol.com.br,90005,8,2,12
96,Brittany,PAYNE,Shannaspotless@att.net,90006,26,6,12
97,Charlotte,GRANT,Alyssacourageous@yahoo.co.id,90007,9,4,3
98,Marie,DUNN,courageousDevin59@gmx.de,90008,24,5,3
99,Kayla,KELLEY,naughtyMallory38@msn.com,90009,16,5,3
100,Alexis,SPENCER,longJonathan55@outlook.com,90010,26,6,6
