parentID,firstName,lastName,email,zipcode
83,Gabriel,CHAVEZ,disgustedMatthew33@yahoo.com.mx,90003
84,Logan,WOOD,outrageousSergio87@uol.com.br,90004
85,Albert,JAMES,hungryKendra@juno.com,90005
86,Willie,BENNETT,old-fashionedTerry@tiscali.co.uk,90006
87,Alan,GRAY,Dylanlovely@yahoo.com.br,90007
88,Juan,MENDOZA,determinedAngelica@neuf.fr,90008
89,Wayne,RUIZ,niceSierra@zonnet.nl,90009
90,Elijah,HUGHES,disturbedMarc41@live.co.uk,90010
91,Randy,PRICE,enviousSara@rocketmail.com,90001
92,Roy,ALVAREZ,Colinhorrible@optonline.net,90002
93,Vincent,CASTILLO,Brittanyclumsy@comcast.net,90003
94,Ralph,SANDERS,happyMario99@arcor.de,90004
95,Eugene,PATEL,Marioenergetic@alice.it,90005
96,Russell,MYERS,Crystalfaithful@ntlworld.com,90006
97,Bobby,LONG,cheerfulSheena25@tiscali.it,90007
98,Mason,ROSS,Ashleighweary@hotmail.com,90008
99,Philip,FOSTER,enviousAdrienne22@optusnet.com.au,90009
100,Lori,HAWKINS,blushingDouglas38@yahoo.ca,90010
